id,price,latitude,longitude,ln_price,f_property_type,f_room_type,f_neighbourhood_cleansed,n_accommodates,n_bedrooms,n_beds,n_bathrooms,n_number_of_reviews,n_reviews_per_month,n_review_scores_rating,n_minimum_nights,n_availability_365,n_host_listings_count,p_host_response_rate,d_host_is_superhost,d_instant_bookable,d_host_identity_verified,n_days_since,d_wifi,d_airconditioning,d_heating,d_kitchen,d_washer,d_dryer,d_tv,d_hairdryer,d_iron,d_elevator,d_freeparking,d_pool,d_dishesandsilverware,d_hottub,d_gym,d_selfcheckin,d_smokingallowed,d_petsallowed,d_hotwater,d_coffeemaker,d_dishwasher,d_microwave,d_refrigerator,d_balcony,d_fireextinguisher,d_smokealarm,d_carbonmonoxidealarm,d_dedicatedworkspace,d_essentials,d_hangers,d_bedlinens,n_amenities_count,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_bathroom,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_host_response_rate,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
970085913733653152,113.0,39.45645,-0.35912,4.727387818712341,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,2.0,0.0,1.0,1.0,16.0,0.87,4.75,1.0,134.0,98.0,100.0,0,0,1,552.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,39,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,2.833213344056216,1,2,1,0,0,0,0,6.315358001522335,39.88374668739218,251.88013877291212,1.5602476682433286
1025939331095157904,162.0,39.456917,-0.3587368,5.087596335232384,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,4.0,1.0,2.0,1.0,5.0,0.34,4.8,1.0,137.0,98.0,100.0,0,0,1,437.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,38,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.791759469228055,1,1,1,0,0,0,0,6.082218910376446,36.993386873740846,225.0018772023384,1.5706970841176697
35384353,86.0,39.46196,-0.3415,4.454347296253507,Apartment,Entire home/apt,LA CREU DEL GRAU,4.0,2.0,3.0,1.0,39.0,0.56,4.41,1.0,0.0,98.0,100.0,0,1,1,2107.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,26,16.0,1.6094379124341003,2.5902903939802346,1.3862943611198906,3.6888794541139363,1,2,1,0,0,0,0,7.653494909661253,58.575984332210716,448.310997914972,1.4861396960896067
1025371537193897211,100.0,39.456917,-0.3587368,4.605170185988092,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,2.0,0.0,1.0,1.0,17.0,1.08,4.59,1.0,129.0,98.0,100.0,0,0,1,472.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,40,4.0,1.0986122886681098,1.206948960812582,0.6931471805599453,2.8903717578961645,1,2,1,0,0,0,0,6.159095388491933,37.93445600454259,233.64193304252836,1.5260563034950492
973854286160519904,149.0,39.45711788095901,-0.3582405913322439,5.003946305945459,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,4.0,1.0,2.0,1.0,5.0,0.28,5.0,1.0,115.0,98.0,100.0,0,0,1,534.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,36,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.791759469228055,1,1,1,0,0,0,0,6.282266746896006,39.46687547915533,247.94143942658292,1.6114359150967734
967509796989271650,175.0,39.45725663344785,-0.358189629360961,5.1647859739235145,Apartment,Entire home/apt,CIUTAT DE LES ARTS I DE LES CIENCIES,4.0,1.0,2.0,1.0,4.0,0.22,4.5,1.0,129.0,98.0,100.0,0,1,1,539.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,44,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.6094379124341003,1,1,1,0,0,0,0,6.29156913955832,39.583842237842624,249.04448024875583,1.506297153514587
1376640231504401221,140.0,39.46411052272468,-0.3885503271171644,4.941642422609304,Apartment,Entire home/apt,PATRAIX,6.0,2.0,4.0,2.0,0.0,1.2,4.77,1.0,16.0,98.0,100.0,0,1,1,649.0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,29,36.0,1.9459101490553132,3.7865663081964716,1.6094379124341003,0.0,2,0,1,1,1,1,0,6.476972362889683,41.95117098963676,271.7165750907367,1.5644405465033644
1094899052833311588,143.0,39.4697891,-0.3281489,4.962844630259907,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,5.0,2.0,3.0,1.0,13.0,1.01,4.69,1.0,331.0,98.0,100.0,0,0,1,385.0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,31,25.0,1.791759469228055,3.210401995568401,1.3862943611198906,2.6390573296152584,1,2,1,0,0,0,0,5.955837369464831,35.47199877151376,211.2654558529922,1.547562508716013
1027517716785179796,126.0,39.4726141568679,-0.3284281173638564,4.836281906951478,House,Entire home/apt,CABANYAL-CANYAMELAR,4.0,1.0,3.0,1.0,29.0,1.82,4.9,1.0,340.0,98.0,100.0,0,0,1,476.0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,34,16.0,1.6094379124341003,2.5902903939802346,1.3862943611198906,3.4011973816621555,1,2,1,0,0,0,0,6.1675164908883415,38.03825966537964,234.6015937709218,1.5912739418064292
1181017718244055199,145.0,39.4730783156545,-0.3294829863924303,4.976733742420574,Apartment,Entire home/apt,CABANYAL-CANYAMELAR,4.0,0.0,2.0,1.0,10.0,1.12,4.9,1.0,343.0,98.0,100.0,0,1,1,266.0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,37,16.0,1.6094379124341003,2.5902903939802346,1.0986122886681098,2.3978952727983707,1,1,1,0,0,0,0,5.58724865840025,31.21734757079539,174.41908333374084,1.5912739418064292
